Date,Year,Day,Actual_extrap_Jekyll
4/29/2010,2010,1,-0.832
4/30/2010,2010,2,-0.687
5/1/2010,2010,3,-0.563
4/22/2011,2011,1,-0.627
4/23/2011,2011,2,0.118
4/24/2011,2011,3,0.078
4/27/2012,2012,1,0.241
4/28/2012,2012,2,0.405
4/29/2012,2012,3,0.723
5/1/2013,2013,1,0.665
5/2/2013,2013,2,1.364
5/3/2013,2013,3,1.924
4/29/2014,2014,1,-0.466
4/30/2014,2014,2,-0.487
5/1/2014,2014,3,0.113
4/29/2015,2015,1,1.948
4/30/2015,2015,2,0.958
5/1/2015,2015,3,0.686
4/29/2016,2016,1,0.723
4/30/2016,2016,2,1.094
5/1/2016,2016,3,0.898
4/27/2017,2017,1,-1.287
4/28/2017,2017,2,-1.325
4/29/2017,2017,3,-1.234
4/26/2018,2018,1,-0.244
4/27/2018,2018,2,-0.451
4/28/2018,2018,3,-0.315
5/1/2019,2019,1,0.804
5/2/2019,2019,2,0.479
5/3/2019,2019,3,0.376
5/1/2020,2020,1,0.111588235
5/2/2020,2020,2,0.111588235
4/28/2021,2021,1,-0.922
4/29/2021,2021,2,-0.309
4/29/2022,2022,1,0.102
4/30/2022,2022,2,-0.156
